kgMWT5QPwhsC,"IBM SPSS for Introductory Statistics: Use and Interpretation, Fourth Edition","George A. Morgan,Nancy L. Leech,Gene W. Gloeckner,Karen C. Barrett",Taylor & Francis,2011-02-14,243,Education,9781136909443,http://books.google.com/books/content?id=kgMWT5QPwhsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"""Designed to help students analyze and interpret research data using IBM SPSS, this book describes the use of statistics in user-friendly, non-technical language to show readers how to choose the appropriate statistic based on the design, interpret output, and write about the results. The authors prepare readers for all of the steps in the research process, from design and data collection, to writing about the results. Discussions of writing about outputs, data entry and checking, reliability assessment, testing assumptions, and computing descriptive and inferential parametric and nonparametric statistics are included. SPSS syntax, along with the output, is provided for those who prefer this format""--Provided by publisher."
f0NVtQWSFbsC,The Piano Owner's Home Companion: A Reference Guide,Steven R. Snyder,Sunstone Press,2006,95,Music,9780865345140,http://books.google.com/books/content?id=f0NVtQWSFbsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A piano technician with over 35 years' experience now unveils the mystery of the piano and shares his secrets. In this simple guide and reference, readers will discover how to protect their investment and save money by doing simple repairs. (Music)"
FWNGAQAAQBAJ,Nineteenth-Century Piano Music,R. Larry Todd,Routledge,2013-10-08,488,Music,9781136731280,http://books.google.com/books/content?id=FWNGAQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"First Published in 2004. Routledge is an imprint of Taylor & Francis, an informa company."
xxJDXPETzRIC,"Alfred's Basic Piano Library, Piano: Classic Themes",Allan Small,Alfred Music Publishing,1990-06,32,Music,9780739005385,http://books.google.com/books/content?id=xxJDXPETzRIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"These volumes contain easy-to-play arrangements of great classical melodies. The arrangements allow the music to be introduced to younger students. While designed to correlate with Alfred's Basic Piano Library, Classic Themes may be used with any piano method or instruction course. Titles: At Home * Bohemian Dance (Tchaikovsky) * Clair de Lune (Debussy) * Espana Themes (Chabrier) * Fandango (from ""Capriccio Espanol"") (Rimsky-Korsakov) * Figar Tarantella (from ""barber of Seville"") (Rossini) * Lullay, Thou Little Tiny Child * March Slav (Tchaikovsky) * Minuetto (From Symphony No. 11) (Haydn) * My Heart at Thy Sweet Voice (From ""Samson and Delilah"") (Saint-Saens) * A Night in Moscow * Romance (Tchaikovsky) * Rondo Op. 20, No. 1 (Kuhlau) * Opening Theme from Symphony No. 40 (Mozart) * Theme from Tales from the Vienna Woods (Strauss) * Tarantella in D Minor * Theme from Violin Concerto (Mendelssohn) * Wedding March (Wagner)."
OGpoPix_EU8C,Anthology of impressionistic piano music: intermediate to early advanced works by 20 composers,Maurice Hinson,Alfred Music Publishing,2004,208,Music,9780739035252,http://books.google.com/books/content?id=OGpoPix_EU8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Dr. Maurice Hinson caps off his extensive library of period anthologies and DVDs with a comprehensive look at Impressionist compositions. This beautifully engraved edition includes works by the top 20 Impressionistic composers, an extensive foreword with historical information on each composer, specific performance notes for each pieces and a look at the compositional techniques used by Impressionists. In the companion DVD-lecture, Dr. Hinson explores four aspects of Impressionism: early influences, performance techniques, musical characteristics and specific repertoire from the anthology. Alfred's DVDs provide a strong visual and auditory reference for stylistic and technical interpretations, which are important tools for enhancing any musical performance. 208 pages."
JteN5zYh6CQC,Anthology of Romantic Piano Music,Maurice Hinson,Alfred Music Publishing,2002,248,Music,9780739024096,http://books.google.com/books/content?id=JteN5zYh6CQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,Works by 36 composers are included in this 248-page comprehensive survey of piano music written between 1820 and 1910. The pieces in this collection range in difficulty from intermediate through early-advanced levels and cover the widest range of styles and idioms of the Romantic period. The comb binding creates a lay-flat book that is perfect for study and performance. Historical and biographical background and performance notes are provided by Dr. Hinson.
qmHjixiWjhUC,The Piano in Chamber Ensemble: An Annotated Guide,"Maurice Hinson,Wesley Roberts",Indiana University Press,2006,668,Music,9780253346964,http://books.google.com/books/content?id=qmHjixiWjhUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"The Piano in Chamber Ensemble describes more than 3,200 compositions, from duos to octets, by more than 1,600 composers. It is divided into sections according to the number of instruments involved, then subdivided according to the actual scoring. Keyboard, string, woodwind, brass, and percussion players and their teachers will find a wealth of chamber works from all periods."
JaqA55mGUYMC,"Complete Course in Professional Piano Tuning, Repair, and Rebuilding",Floyd A. Stevens,Rowman & Littlefield,2001-01-01,216,Music,9780830415939,http://books.google.com/books/content?id=JaqA55mGUYMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,To find out more information about Rowman & Littlefield titles please visit us at www.rowmanlittlefield.com.
I25fGJPiySwC,Music for cello and piano,Arthur Foote,"A-R Editions, Inc.",1982-01-01,89,Cello and piano music,9780895791771,http://books.google.com/books/content?id=I25fGJPiySwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,
kRweNZB37KUC,A Treatise on the Fundamental Principles of Violin Playing,Leopold Mozart,"Oxford University Press, USA",1951,235,Science,9780193185135,http://books.google.com/books/content?id=kRweNZB37KUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Known principally as the father of Wolfgang Amadeus, Leopold Mozart was a distinguished musician in his own right. An excellent violinist and composer, his greatest contribution to music was his Treatise on Fundamental Principles of Violin Playing. Published at Ausburg in 1756 it was the major work of its time on the violin and it contains much that is of considerable interest and value to musicians today: notes on performance, practice, a glossary of technical terms and specific chapters on the playing of written and improvised embellishments, the trill, and special rhythmic figures. Copious exercises illustrate each point made in the text. A Preface--revised for this edition--offers an illuminating biographical study of Leopold both as a man and as a musician."
p_mxeQY3KVsC,The Cambridge Companion to the Violin,ROBIN AUTOR STOWELL,Cambridge University Press,1992-12-10,303,Music,9780521399234,http://books.google.com/books/content?id=p_mxeQY3KVsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,Enth. S.1 - 29: The violin and bow - origins and development / John Dilworth
T7dSdZoBHKgC,The History of Violin Playing from Its Origins to 1761: And Its Relationship to the Violin and Violin Music,David Dodge Boyden,Oxford University Press,1990,569,Music,9780198161837,http://books.google.com/books/content?id=T7dSdZoBHKgC&printsec=frontcover&img=1&zoom=5&source=gbs_api,"David Boyden's classic book, first published in 1965, was the first to deal comprehensively with the history of violin playing against the vast panorama of the violin's evolution and the music written for it. Its principal theme is the manner in which the violin was actually played in past centuries, dealing with such practical questions as bowing disciplines in their national and historical evolution, the performance of staccato, the use of vibrato, the meaning of numerous and esoteric performing directions, the notation and performance of double stops, the rules of scordatura playing, and the sound of the violin in early times. Remaining an invaluable source of reference for the performance of early music, this book is now available for the first time in paperback."
EZIusK7t3ecC,"Bach's Works for Solo Violin: Style, Structure, Performance",Joel Lester,"Oxford University Press, USA",1999,186,Music,9780195120974,http://books.google.com/books/content?id=EZIusK7t3ecC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"J.S. Bach's sonatas and partitas for solo violin have been central to the violin repertoire since the mid-18th century. This engaging introduction to these works is the first comprehensive exploration of their place within Bach's music, focusing on both the genius and genesis of their structural and stylistic features."
ScAPGsv8W5gC,The Violin: A Research and Information Guide,Mark Katz,Taylor & Francis,2006,410,Music,9780815336372,http://books.google.com/books/content?id=ScAPGsv8W5gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"First published in 2006. Routledge is an imprint of Taylor & Francis, an informa company."
VkQxqTX7N7AC,Four Centuries of Violin Making: Fine Instruments from the Sotheby's Archive,"Tim Ingles,John Dilworth",Cozio Publishing,2006,640,Bowed stringed instruments,9780976443117,http://books.google.com/books/content?id=VkQxqTX7N7AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This publication features beautiful colour photographs of 225 fine stringed instruments (violins, violas, cellos and double basses) by more than 75 important violin makers. As the leading auction house for stringed instruments, Sotheby's has amassed one of the most extensive photo archives of antique instruments, and this book illustrates the highlights of their archive. In addition to featuring numerous examples from famous makers such as those of the Amati, Gagliano, Guameri, Guadagnini & Stradivari families, the book also includes important examples from lesser-known makers, such as Gregorio Antoniazzi, Giovanni Maria del Bussetto, Felix Mori Costa & Francesco Emiliani. Tim Ingles, head of Sotheby's Musical Instruments Department, has written a brief biography of each of the 75 featured violin makers, incorporating results from modern research that is shedding new light on the lives and interactions of these historical figures. The introduction by John Dilworth gives an overview of the evolution of violin making from its dawn in the 16th century to its current state."
h2PvfVeU47AC,Duets for Violins,Shinʼichi Suzuki,Alfred Music Publishing,1999-07,16,Music,9780874870930,http://books.google.com/books/content?id=h2PvfVeU47AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This book contains the second violin part and some third violin parts written by Dr. Suzuki to selected pieces from Suzuki Violin School, Volumes 1, 2, and 3. When a student starts playing advanced pieces he may learn the second part. Contents are: Lightly Row (Folk Song) * Song of the Wind (Folk Song) * Go Tell Aunt Rhody (Folk Song) * O Come, Little Children (Folk Song) * May Song (Folk Song) * Long, Long Ago (T. H. Bayly) * Allegro (Shinichi Suzuki) * Perpetual Motion (Shinichi Suzuki) * Allegretto (Shinichi Suzuki) * Andantino (Shinichi Suzuki) * Etude (Shinichi Suzuki) * Minuet No. 1, Minuet III from Suite in G Minor for Klavier, BWV 822 (J. S. Bach) * Minuet No. 2, Minuet, BWV Anh. II 116 from Notebook for Anna Magdalena Bach (J. S. Bach) * Chorus from Judas Maccabaeus (G. F. Handel) * Mussette, Gavotte II or the Musette from English Suite III in G Minor for Klavier, BWV 808 (J. S. Bach) * Bourrée from Sonata in F Major for Oboe, HHA IV/18, No. 8 (G. F. Handel) * Gavotte (P. Martini) * Minuet, BWV Anh. II 114/Anh. III 183/Anh. (J. S. Bach) * Minuet in G, Wo0 10, No. 2 (L. van Beethoven). This title is available in SmartMusic. The International editions include an updated title page that designates the book as the International Edition."
WZMFsPCmjsgC,"British Violin Makers: A Biographical Dictionary of British Makers of Stringed Instruments and Bows and a Critical Description of Their Work with Introductory Chapters, and Numerous Portraits and Illustrations",William Meredith Morris,Pelican Publishing,1920,318,Violin,9781455601554,http://books.google.com/books/content?id=WZMFsPCmjsgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,
ZfVRJYHf0pMC,"The Beethoven Violin Sonatas: History, Criticism, Performance","Lewis Lockwood,Mark Kroll",University of Illinois Press,2004,164,Music,9780252029325,http://books.google.com/books/content?id=ZfVRJYHf0pMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"""Lewis Lockwood and Mark Kroll's volume The Beethoven Violin Sonatas is the first scholarly book in English devoted exclusively to the Beethoven sonatas and deals with them in unprecedented depth. Serving readers, listeners, and performers as a companion to the sonatas, it presents seven critical and historical essays by some of the most important American and European Beethoven specialists of our time."
G1V2N0GAkHQC,"Elves in Anglo-Saxon England: Matters of Belief, Health, Gender and Identity",Alaric Hall,Boydell & Brewer Ltd,2007,226,History,9781843832942,http://books.google.com/books/content?id=G1V2N0GAkHQC&printsec=frontcover&img=1&zoom=5&source=gbs_api,Elves and elf-belief during the Anglo-Saxon period are reassessed in this lively and provocative study.
g1foWWN5odwC,"""Sprites, Elves and Intense Lightning Discharges""","Martin Füllekrug,Eugene A. Mareev,Michael J Rycroft",Springer Science & Business Media,2006-05-01,398,Science,9781402046285,http://books.google.com/books/content?id=g1foWWN5odwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Particularly intense lightning discharges can produce transient luminous events above thunderclouds, termed sprites, elves and jets. These short lived optical emissions in the mesosphere can reach from the tops of thunderclouds up to the ionosphere; they provide direct evidence of coupling from the lower atmosphere to the upper atmosphere. Sprites are arguably the most dramatic recent discovery in solar-terrestrial physics. Shortly after the first ground based video recordings of sprites, observations on board the Space Shuttle detected sprites and elves occurring all around the world. These reports led to detailed sprite observations in North America, South America, Australia, Japan, and Europe. Subsequently, sprites were detected from other space platforms such as the International Space Station and the ROCSAT satellite. During the past 15 years, more than 200 contributions on sprites have been published in the scientific literature to document this rapidly evolving new research area."
1QFRYGdD8GIC,The Fallen Elves: The Second Neoluzian War: Book III,Christopher Farmer,iUniverse,2004-02-01,272,Fiction,9780595309818,http://books.google.com/books/content?id=1QFRYGdD8GIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"In The Fallen Elves, book three of The Second Neoluzian War epic fantasy series, the wicked Orc dictator Arkan Spiritstrike, his wizards and military generals are on the verge of laying waste to the elven cities of Balenwood and Oakmantle after destroying the human settlements in the northern lands. This is a time of desperation for the good races because Darius has been lost to lower Neoluzia due to the Gathering of Replenishment spell cast upon him by members of the secretive wizard guild, the Veiled Institution. David Parr, a human from Earth summoned by Darius that reluctantly remains in Neoluzia to assist the Salon of Enlightenment against their Orc enemies, must find the great necromancer Termaplix if the land is to be saved. Finding Termaplix may be impossible however, for the hero from the War of Cleansing has been hidden in a secret place due to unknown circumstances one thousand years ago--a tomb long since forgotten to the current generations in the land. Perilously stifled in their shift away from the old magic and the forced elimination of history, those that Parr seeks to help against the enemy from the north must first learn to embrace the gift of magic again, an art banished in antiquity by the deception of peace and the deep wounds of the surviving populations in the first war."
Zy-3oUkhvRcC,The Dark Elves of Tane and the Tree Spirits,Raynor Woods,Strategic Book Publishing,2013-08-29,140,Juvenile Fiction,9781628573428,http://books.google.com/books/content?id=Zy-3oUkhvRcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Within our solar system, the balance of Nature has been critically disturbed. Warmongering alien forces are exploiting fertile planets to fuel their military resources. As a consequence, Earth is experiencing unprecedented high tides and strange weather anomalies. Crops are failing and the smaller animals are dying. Susan Grey and her friends, the guardians of Earth's magical Heart Stone, are called upon to intervene. They are contacted by Celestial Witch Zelda; she sends them a hand written letter via Robbie, her adopted son, who has supernatural abilities. Together with the valiant Elvin clans of Earth, they must make perilous journeys into the ravaged planet of Tane in an attempt to restore the balance on Earth and in the solar system."
CowiTni_JXEC,"Trolls, Elves and Fairies","Jan Sovak,Coloring Books",Courier Corporation,2002-10-01,32,Juvenile Nonfiction,9780486423821,http://books.google.com/books/content?id=CowiTni_JXEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A wonderland of wee folk, this imaginative coloring book is populated by gremlins, pixies, giants, and other fantasy characters. In addition to mermaids, leprechauns, and other familiar creatures, these 29 images encompass a variety of lesser-known spirits. Colorists of all ages are certain to fall under the spell of these beguiling images."
CMCYGMX3rhEC,Car Key Elves,T. H. Hunter,Elf Night: a Christmas Story,2008-05,32,Juvenile Fiction,9780978808518,http://books.google.com/books/content?id=CMCYGMX3rhEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Ever wonder why you cannot find your car keys? Car Key elves answers the question. While answering the question, the story shows children som basic living rules. You will enjoy the brilliant, mischievous elf Diginess, as she overcomes the elf community's prejudice towards her. Diginess adds the dimension of time to hiding with the introduction of her small, disposable time machine."
EAvVPiiIcYIC,Evermeet: Island of the Elves,Elaine Cunningham,Wizards of the Coast,2012-08-07,496,Fiction,9780786962006,http://books.google.com/books/content?id=EAvVPiiIcYIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Serene, beautiful, inviolate. Rich in magic and treasure, to those who hear of its legends it is the ultimate paradise. To the beleagured elves of Toril it is the ultimate refuge. But to many it is the ultimate prize. At the heart of its story is Amlaruil, Queen of All Elves. When Evermeet comes under massive, devastating attack, her sacrifice holds the last hope of saving the elven homeland."
cbcuwO3bwfgC,Lord of the Elves and Eldils,Richard L. Purtill,Ignatius Press,2006,216,Philosophy,9781586170844,http://books.google.com/books/content?id=cbcuwO3bwfgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A fascinating look at the fantasy and philosophy of C.S. Lewis and J.R.R Tolkien. The two men were friends and fellow professors at Oxford, renowned Christian thinkers who both ""found it necessary to create for the purposes of their fiction other worlds--not utopias or dystopias, but different worlds."" ""The great importance of [Lewis and Tolkien] is that they have succeeded in restating certain traditional values--in a way that they make an imaginative appeal to a very wide audience, young and old, traditionalist and non-traditionalist."" --Richard Purtill, Author, J.R.R. Tolkien: Myth, Morality, and Religion"
32Q_DgAAQBAJ,The Tank Book: The Definitive Visual History of Armoured Vehicles,DK,Dorling Kindersley Ltd,2017-04-03,256,History,9780241311295,http://books.google.com/books/content?id=32Q_DgAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,"From the birth of the tank to unmanned vehicles and the tanks of the future, The Tank Book offers a truly definitive look at over 400 different tanks, produced in association with The Tank Museum. Take an up-close look at British, US, Russian, and French tanks, meet key designers such as Mikhail Koshkin and Sir William Tritton, and understand the complex mechanisms behind such vehicles as the Centurion, Hellcat, SV Scout, and T-14 Armata. Incredible photographic tours take you inside a variety of tanks, putting you in the seat of some of the most formidable vehicles to ever go to battle in World War II, the Cold War, and beyond. Perfect for anyone with an interest in military history, The Tank Book is the ultimate guide to tanks and their unique past."
1kK7pnBcgzkC,Septic Tank System Effects on Ground Water Quality,Canter,CRC Press,1985-04-01,360,Technology & Engineering,9780873710121,http://books.google.com/books/content?id=1kK7pnBcgzkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This valuable reference delineates the ground water quality concerns associated with the planning and usage of septic tank systems. Septic tank systems represent a significant source of ground water pollution in the United States. Since many existing systems are exceeding their design life by several-fold, the usage of synthetic organic chemicals in the household and for system cleaning is increasing, and larger-scale systems are being designed and used."
wCfu4WDn8J4C,"Handbook of Storage Tank Systems: Codes: Regulations, and Designs",Wayne B. Geyer,CRC Press,2000-01-20,360,Technology & Engineering,9780824785895,http://books.google.com/books/content?id=wCfu4WDn8J4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A survey of manufacturing and installation methods, standards, and specifications of factory-made steel storage tanks and appurtenances for petroleum, chemicals, hydrocarbons, and other flammable or combustible liquids. It chronicles the trends towards aboveground storage tanks, secondary containment, and corrosion-resistant underground steel storage systems."
5tpLc8w4Ed4C,From the Fryer to the Fuel Tank: The Complete Guide to Using Vegetable Oil as an Alternative Fuel,"Joshua Tickell,Kaia Tickell",Biodiesel America,2003,162,Technology & Engineering,9780970722706,http://books.google.com/books/content?id=5tpLc8w4Ed4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,Discusses the American dependence on imported fossil fuel and proposes a solution in the form of biodiesel engines.
-PXQYVjbp6MC,Tank Tactics: From Normandy to Lorraine,Roman Johann Jarymowycz,Lynne Rienner Publishers,2001,362,History,9781555879501,http://books.google.com/books/content?id=-PXQYVjbp6MC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"""This book draws on after-action reports, war diaries, and other primary sources to examine the tactical ideas underpinning World War II tank warfare as conducted by Allied commanders in France from July to September 1944.""--P. [4] of cover."
3S3yZy2pFJEC,Think Tank Traditions: Policy Analysis Across Nations,"Diane Stone,Andrew Denham",Manchester University Press,2004-06-19,322,Political Science,9780719064791,http://books.google.com/books/content?id=3S3yZy2pFJEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Think tank traditions is a follow up to the critically acclaimed monograph Think Tanks across Nations (Manchester University Press, 1998), edited by the same authors, which was widely acknowledged as a ground-breaking work in the comparative study of think tanks. The book looks at the historical role and contemporary significance of think tanks in the West, including Europe, the United States and Canada, as well as considering their activities in China, Eastern Europe and Argentina. In so doing, the book provides a broad-based and in-depth analysis of the role of think tanks in the processes of economic liberalization and democratization."
NOpmY2xfCskC,Technology of Underground Liquid Storage Tank Systems,John P. Hartmann,John Wiley & Sons,1997-07-15,292,Science,9780471154129,http://books.google.com/books/content?id=NOpmY2xfCskC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Public concern over the environmental and health risks posed by underground storage tank (UST) systems has given rise to myriad codes, standards, and regulations in recent years. In many states, UST owners, operators, contractors, and inspectors must prove that they understand how to apply a vast and growing body of technical and legal specifications to their work. Technology of Underground Liquid Storage Tank Systems is based on John Hartmann's celebrated training course at the University of Wisconsin-Madison--the longest-running, most well-attended course of its kind. It was written for busy engineers, contractors, owner/operators, and inspectors who need to come up to speed on both the technology and the regulatory requirements involved in designing, installing, and closing USTs. This complete, practical guide covers all the bases, from site assessment to damage control, regulatory compliance and legal considerations to project management. Drawing upon his 35 years of experience as a UST contractor and consultant, as well as the experience of several other leading experts in the field, Mr. Hartmann provides careful, step-by-step guidance and a gold mine of practical advice on how to avoid most technical and legal snags commonly encountered in building, maintaining, or removing USTs."
wnOX81_1-DcC,Tank Wastes Planned for On-Site Disposal at Three Department of Energy Sites: The Savannah River Site: Interim Report,"National Research Council,Division on Earth and Life Studies,Nuclear and Radiation Studies Board,Committee on the Management of Certain Radioactive Waste Streams Stored in Tanks at Three Department of Energy Sites",National Academies Press,2005-08-05,88,Science,9780309181747,http://books.google.com/books/content?id=wnOX81_1-DcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"In response to a request from Congress, the U.S. Department of Energy (DOE) asked the National Academies to evaluate its plans for managing radioactive wastes from spent nuclear fuel at sites in Idaho, South Carolina, and Washington. This interim report evaluates storage facilities at the Savannah River Site in South Carolina, with a particular focus on plans to seal the tanks with grouting. The report finds that tanks at the site do not necessarily need to be sealed shut as soon as the bulk of the waste has been removed. Postponing permanent closure buys more time for the development and application of emerging technologies to remove and better immobilize residual waste, without increasing risks to the environment or delaying final closure of the ""tank farms."" The report also recommends alternatives to address the lack of tank space at the site, as well as the need for focused R&D activities to reduce the amount and improve the immobilization of residual waste in the tanks and to test some of the assumptions used in evaulating long-term risks at the site."
0IWHkLVTT88C,"Tank Waste Retrieval, Processing, and On-site Disposal at Three Department of Energy Sites: Final Report","National Research Council,Division on Earth and Life Studies,Nuclear and Radiation Studies Board,Committee on the Management of Certain Radioactive Waste Streams Stored in Tanks at Three Department of Energy Sites",National Academies Press,2006-09-12,214,Science,9780309180146,http://books.google.com/books/content?id=0IWHkLVTT88C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"DOE Tank Waste: How clean is clean enough? The U.S. Congress asked the National Academies to evaluate the Department of Energyâ€™s (DOEâ€™s) plans for cleaning up defense-related radioactive wastes stored in underground tanks at three sites: the Hanford Site in Washington State, the Savannah River Site in South Carolina, and the Idaho National Laboratory. DOE plans to remove the waste from the tanks, separate out high-level radioactive waste to be shipped to an off-site geological repository, and dispose of the remaining lower-activity waste onsite. The report concludes that DOEâ€™s overall plan is workable, but some important challenges must be overcomeâ€""including the removal of residual waste from some tanks, especially at Hanford and Savannah River. The report recommends that DOE pursue a more risk-informed, consistent, participatory, and transparent for making decisions about how much waste to retrieve from tanks and how much to dispose of onsite. The report offers several other detailed recommendations to improve the technical soundness of DOE's tank cleanup plans."
tyr-lWAieSgC,"The 761st ""Black Panther"" Tank Battalion in World War II: An Illustrated History of the First African American Armored Unit to See Combat",Joe Wilson,McFarland,1999-01-01,313,History,9780786406678,http://books.google.com/books/content?id=tyr-lWAieSgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Their motto was ""Come Out Fighting,"" and that they did without fail. The 761st Tank Battalion - the famed ""Black Panthers"" - was the first African American armored unit to enter combat, and in World War II they fought in four major Allied campaigns and inflicted 130,000 casualties on the German army. And the fighting was intense - only one out of every two Black Panthers made it home alive. This is the complete history of the 761st, told in large part through the words of the surviving members of the unit. Richly illustrated, this work recounts how the unit was given long overdue recognition - the Presidential Unit Citation and the Medal of Honor - in recent years."
_QaLZwEACAAJ,Australian Women's Weekly Children's Birthday Cake Book: Vintage Edition,"Australian Women's Weekly,Pamela Clark",Australian Women's Weekly,2011,127,Birthday cakes,9781742450582,http://books.google.com/books/content?id=_QaLZwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,"Australia's most famous children's cake book - reprinted in a collector's edition. The Australian Women's Weekly's Children's Birthday Cake Book was first published in 1980 and has sold more than half a million copies. In response to all the requests we have had, often from mothers who remember fondly all the cakes from their own childhood, we have taken this book from our archives and reprinted it 30 years after it first appeared. We have had to make a minor change - four of your little friends are missing, but they've been replaced by other cakes you'll love just as much. Apart from that we've left it just as it was - a true collectors' cookbook especially for you. Now you can recreate your favourite cakes - the swimming pool, rocket and that train from the cover for your own child."
7MYpDwAAQBAJ,The Great American Birthday Cake Book,"Dean Brettschneider,Jazmine Nixon",Simon and Schuster,2017-05-30,212,Cooking,9781681882390,http://books.google.com/books/content?id=7MYpDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"The great Amercan birthday cake book features 80 memory-making cakes with a stunning range of creations to suit any occasion.From bears, boats and ballerinas to pigs, pirates and princesses - and even the latest in emojis."
nADfM6NuoecC,"Cake Pops: Tips, Tricks, and Recipes for More Than 40 Irresistible Mini Treats",Bakerella,Chronicle Books,2011-07-22,160,Cooking,9781452100128,http://books.google.com/books/content?id=nADfM6NuoecC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"What's cuter than a cupcake? A cake pop, of course! Wildly popular blogger Bakerella (aka Angie Dudley) has turned cake pops into an international sensation! Cute little cakes on a stick from decorated balls to more ambitious shapes such as baby chicks, ice cream cones, and even cupcakes these adorable creations are the perfect alternative to cake at any party or get-together. Martha Stewart loved the cupcake pops so much she had Bakerella appear on her show to demonstrate making them. Now Angie makes it easy and fun to recreate these amazing treats right at home with clear step-by-step instructions and photos of more than 40 featured projects, as well as clever tips for presentation, decorating, dipping, coloring and melting chocolate, and much more."
LzkkngEACAAJ,The Cake Book,"Jemma Wilson,Jemma Cupcake",Michael Joseph,2014,124,Cake,9780718179205,http://books.google.com/books/content?id=LzkkngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,"Jemma Wilson from Crumbs & Doilies is the cupcake queen of Food Tube. Featuring four chapters of beautiful seasonal recipes, plus the need-to-know basics, this book has all the essentials for amazing baking all year round. To watch Cupcake Jemma in action, check out her videos as well as loads more recipes, tips and techniques from the Food Tube family at: youtube.com/jamieoliver."
DtS4H-32kGkC,The Cake Mix Doctor,Anne Byrn,Rodale,2003-01-01,500,Cooking,9781579546922,http://books.google.com/books/content?id=DtS4H-32kGkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,The cake mix doctor...doctors cake mixes to create more than 200 luscious desserts with from-scratch taste.
OTy8aIWxHhQC,The Technology of Cake Making,"E.B. Bennion,G.S.T. Bamford",Springer Science & Business Media,1997-07-31,421,Cooking,9780751403497,http://books.google.com/books/content?id=OTy8aIWxHhQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This book continues to be the commercial cake maker's 'bible'. The previous edition, published more than two decades ago, has been considerably updated with contributions from leading industrial companies in the field. Authoritative accounts of raw material handling and processing are given in sufficient detail to provide an essential background for the manufacturer of flour confectionery products - all the fundamentals of flour confectionery manufacture are covered."
uiQ903RGoskC,Cake Decorating For Dummies,Joe LoCicero,John Wiley & Sons,2011-04-27,384,Cooking,9781118051177,http://books.google.com/books/content?id=uiQ903RGoskC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,
